,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude,Group
474,48.0,Đà Nẵng,2013.0,8.0,13.0,77.0,29.3,80.7,164.0,16.031944,108.220556,1
475,48.0,Đà Nẵng,2013.0,9.0,31.0,85.0,27.1,750.8,145.3,16.031944,108.220556,1
476,48.0,Đà Nẵng,2013.0,10.0,8.0,83.0,26.0,369.4,136.5,16.031944,108.220556,1
477,48.0,Đà Nẵng,2013.0,11.0,1.0,85.0,25.2,760.3,110.8,16.031944,108.220556,1
478,48.0,Đà Nẵng,2013.0,12.0,1.0,80.0,20.8,34.4,51.1,16.031944,108.220556,1
479,48.0,Đà Nẵng,2014.0,6.0,9.0,70.0,30.8,82.4,224.0,16.031944,108.220556,1
480,48.0,Đà Nẵng,2014.0,7.0,6.0,78.0,29.3,183.6,231.1,16.031944,108.220556,1
481,48.0,Đà Nẵng,2014.0,8.0,13.0,75.0,29.3,180.8,220.7,16.031944,108.220556,1
482,48.0,Đà Nẵng,2014.0,9.0,31.0,80.0,28.7,111.5,225.2,16.031944,108.220556,1
483,48.0,Đà Nẵng,2014.0,10.0,8.0,84.0,26.4,819.4,166.0,16.031944,108.220556,1
484,48.0,Đà Nẵng,2014.0,11.0,1.0,85.0,25.9,288.1,148.9,16.031944,108.220556,1
485,48.0,Đà Nẵng,2014.0,12.0,1.0,89.0,21.7,399.1,28.2,16.031944,108.220556,1
486,48.0,Đà Nẵng,2015.0,6.0,9.0,75.0,29.8,24.8,264.4,16.031944,108.220556,1
487,48.0,Đà Nẵng,2015.0,7.0,6.0,73.0,29.6,36.8,143.7,16.031944,108.220556,1
488,48.0,Đà Nẵng,2015.0,8.0,13.0,78.0,29.2,190.9,262.2,16.031944,108.220556,1
489,48.0,Đà Nẵng,2015.0,9.0,31.0,80.0,28.8,416.0,240.0,16.031944,108.220556,1
490,48.0,Đà Nẵng,2015.0,10.0,8.0,82.0,26.6,356.1,192.8,16.031944,108.220556,1
491,48.0,Đà Nẵng,2015.0,11.0,1.0,84.0,26.7,328.2,172.9,16.031944,108.220556,1
492,48.0,Đà Nẵng,2015.0,12.0,1.0,86.0,23.9,179.8,136.3,16.031944,108.220556,1
493,48.0,Đà Nẵng,2016.0,6.0,9.0,74.0,30.1,47.0,263.1,16.031944,108.220556,1
494,48.0,Đà Nẵng,2016.0,7.0,6.0,75.0,29.8,54.3,288.2,16.031944,108.220556,1
495,48.0,Đà Nẵng,2016.0,8.0,13.0,76.0,30.2,145.0,224.5,16.031944,108.220556,1
496,48.0,Đà Nẵng,2016.0,9.0,31.0,82.0,28.6,783.3,189.9,16.031944,108.220556,1
497,48.0,Đà Nẵng,2016.0,10.0,8.0,83.0,27.5,411.2,170.6,16.031944,108.220556,1
498,48.0,Đà Nẵng,2016.0,11.0,1.0,85.0,25.8,336.8,111.4,16.031944,108.220556,1
499,48.0,Đà Nẵng,2016.0,12.0,1.0,89.0,23.2,758.7,39.7,16.031944,108.220556,1
529,77.0,Vũng Tàu,2011.0,1.0,1.0,77.0,25.8,1.2,158.2,10.3459,107.08426,3
530,77.0,Vũng Tàu,2011.0,3.0,6.0,75.0,27.3,1.5,202.8,10.3459,107.08426,3
531,77.0,Vũng Tàu,2011.0,4.0,4.0,77.0,27.7,80.1,249.9,10.3459,107.08426,3
532,77.0,Vũng Tàu,2011.0,5.0,2.0,80.0,29.0,193.0,222.4,10.3459,107.08426,3
533,77.0,Vũng Tàu,2011.0,11.0,3.0,78.0,27.7,171.5,200.1,10.3459,107.08426,3
534,77.0,Vũng Tàu,2012.0,1.0,10.0,77.0,26.2,0.2,205.8,10.3459,107.08426,3
535,77.0,Vũng Tàu,2012.0,2.0,4.0,77.0,26.7,35.9,249.5,10.3459,107.08426,3
536,77.0,Vũng Tàu,2012.0,3.0,12.0,76.0,28.3,31.6,256.6,10.3459,107.08426,3
537,77.0,Vũng Tàu,2012.0,4.0,3.0,79.0,28.7,261.8,265.5,10.3459,107.08426,3
538,77.0,Vũng Tàu,2012.0,6.0,2.0,79.0,28.5,141.3,197.0,10.3459,107.08426,3
539,77.0,Vũng Tàu,2012.0,11.0,1.0,77.0,28.3,11.1,213.9,10.3459,107.08426,3
540,77.0,Vũng Tàu,2012.0,12.0,2.0,73.0,27.9,20.8,225.6,10.3459,107.08426,3
541,77.0,Vũng Tàu,2013.0,2.0,2.0,73.0,27.1,0.9,232.7,10.3459,107.08426,3
542,77.0,Vũng Tàu,2013.0,4.0,2.0,75.0,29.7,104.0,203.5,10.3459,107.08426,3
543,77.0,Vũng Tàu,2013.0,6.0,1.0,79.0,28.7,192.1,157.8,10.3459,107.08426,3
544,77.0,Vũng Tàu,2013.0,12.0,2.0,77.0,26.3,18.9,147.8,10.3459,107.08426,3
545,77.0,Vũng Tàu,2014.0,4.0,1.0,74.0,29.6,39.2,272.7,10.3459,107.08426,3
546,77.0,Vũng Tàu,2014.0,11.0,1.0,77.0,28.3,11.4,238.2,10.3459,107.08426,3
