,Ma_Tinh,Thang,So_Diem_Chay,Nam
2067,40,6,176,2014
2068,40,7,2,2014
2069,40,8,2,2014
2070,40,9,6,2014
2071,40,10,3,2014
2072,40,11,11,2014
2073,40,12,16,2014
2074,40,1,35,2015
2075,40,2,55,2015
2076,40,3,66,2015
2077,40,4,185,2015
2078,40,5,218,2015
2079,40,6,314,2015
2080,40,7,77,2015
2081,40,8,22,2015
2082,40,9,21,2015
2083,40,10,12,2015
2084,40,11,7,2015
2085,40,12,9,2015
2086,40,1,18,2016
2087,40,2,78,2016
2088,40,3,69,2016
2089,40,4,96,2016
2090,40,12,1,2016
2091,40,1,18,2017
2092,40,2,111,2017
2093,40,3,88,2017
2094,40,4,330,2017
2095,40,5,1079,2017
2096,40,6,638,2017
2097,40,7,39,2017
